4.8,19.7,2.7,3.5,1
4.6,9.9,2.2,3.6,1
4.7,9.7,2.4,3.7,1
4.2,12.6,1.9,3.4,1
4.9,9,0.6,3.5,1
5.1,3.2,0.6,3.7,1
4.4,-4,0.2,3.9,0
3.9,-4.3,0.5,4.3,0
3,-5.5,-1.3,4.4,0
1.7,1.8,-1.2,4.2,0
2.7,6.8,-1.5,4.4,1
3,9.1,-1.2,3.9,1
1.8,1.9,-0.7,3.7,0
1.8,1.7,-0.5,3.7,0
2.1,-1.5,0.5,3.6,0
2.4,3.3,0.8,3.9,1
0.8,-3.1,0.9,3.9,0
0.3,-8.3,1.1,3.4,0
0.2,-4.1,1.7,2.9,0
0.8,2.8,1.9,2.8,0
1.6,5.2,3.1,2.6,1
1.8,-2.4,2.8,3.1,0
0.8,-7.5,3.2,3.1,0
-0.2,-10.1,3,2.9,0
-0.1,-5.8,2.9,2.6,0
0.6,-1,3.2,2.5,0
-0.3,0.1,4.4,2.5,0
-0.6,-8.1,3.8,2.4,0
0.5,-4.7,5.3,2.4,0
0.6,2.4,2.1,2.7,0
0.8,2.3,3.6,3,0
0.9,2,4.2,2.6,0
0.3,0.8,4,2.5,0
0,-2.8,4.1,1.9,0
0.5,-3.6,2.8,1.7,0
0.7,-5,3.1,1.9,0
-0.3,-10.5,2.8,2.3,0
-2,-21,3.1,2.4,0
-1.4,-35.4,2.5,2.3,0
-0.8,-32.8,3.2,1.8,0
-0.5,-29.2,0.9,1.9,0
-0.8,-31.7,3.8,2.6,0
-1.5,-25,0.5,2.5,0
-1.8,-23.3,0,2.3,0
-1.6,-22.3,-0.7,2.3,0
-0.9,-23.3,-0.6,2.2,0
-1.4,-29.6,-0.4,2.4,0
-1.9,-27.8,-0.5,3,0
-1.5,-24.1,-0.2,3.1,0
-0.9,-19.7,-1.2,2.9,0
-0.5,-7.3,-2.4,3.3,0
0.9,-20.7,-3,3.9,0
-0.6,-20.9,-1.7,3.6,0
-0.6,-13.8,-2.1,3.1,0
0.5,-16.9,-1.3,3.5,0
0.4,-15.4,-1.8,3.8,0
0.3,-19.9,-1,4.1,0
0.3,-17.8,-0.7,5.1,0
-0.1,-6.5,0.1,4.8,0
0.7,-0.9,0.4,4.1,0
0.3,1,0.2,3.9,0
-0.1,9.1,0.7,3.9,1
1,20.3,1,3.6,1
0.4,30.7,1.9,3.4,1
0.6,19.9,1.6,3.4,1
0.5,14.3,2.4,3.1,1
-0.9,5.8,2.7,2.5,0
-0.7,-0.4,2.5,2.5,0
-0.4,3,2.6,2.3,0
-0.6,10.4,2.3,1.6,1
-0.2,19.3,1.7,1.7,1
-0.6,10.8,2,1.9,1
-1.6,16.5,2.5,1.6,1
-1.6,10.7,2.6,1.6,1
-0.7,8.5,2.4,2,1
0.4,12.6,2.2,1.8,1
0.3,11.1,2.2,2.1,1
0.8,13.4,1.2,2.2,1
1.4,21.8,1,2.3,1
0.6,24.3,-0.1,2.5,1
0.3,25.4,-0.8,2.3,1
-1.4,20.3,-0.5,1.9,1
-0.6,9.1,-1.2,2,0
-0.4,16.1,0.7,1.9,1
-0.4,5,0.6,2.4,0
-0.1,-2.1,1.1,2.6,0
0.1,-10.1,0.4,2.4,0
-0.8,-9.1,0,2.4,0
-2.2,-0.7,0.3,2.3,0
-3,3.1,0.6,2.3,0
-3.1,-0.2,-0.2,2.8,0
-1.3,-5.4,-0.3,2.8,0
-0.5,-3.3,0.5,3.3,0
1,-7.1,-0.1,4.3,0
-0.3,-8.2,0.7,4.4,0
-2.3,-7.3,0.4,5.1,0
-1.6,-1.2,0.5,5.1,0
-1.2,7.9,-0.4,5.1,1
-1.3,12.8,0.5,5.1,1
-0.9,5.6,0.6,5.3,1
-1.6,-10.2,0.2,5.5,0
-5.7,-32,0.2,5.8,0
-7.9,-33.8,-0.2,5.9,0
-7.3,-23.4,0.1,6,0
-6.5,-20.3,-0.1,5.9,0
-5.9,-16.8,-0.1,5.3,0
-6,-15.4,0.7,4.9,0
-5.5,-18,1.3,3.7,0
-5.2,-19.3,1.6,3.2,0
-3.9,-15.2,2.2,2.8,0
-2.5,-8.6,1.5,2.9,0
-3.6,1.5,2.3,3,0
-2.5,22.5,2.5,2.7,1
1.9,49.6,3.6,2.2,1
5.6,56.2,4.2,1.5,1
4.9,45.1,3.8,1,1
4.2,41.8,4,0.8,1
4.2,42.7,5.2,1,1
3.4,42.1,5.2,0.9,1
